ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,323.53,128,29.18,52184460
4096,2048,325.04,128,27.95,80373132
6144,2048,327.46,128,27.95,108561804
8192,2048,325.70,128,27.36,136750476
10240,2048,323.81,128,27.17,164939148
12288,2048,320.63,128,27.14,193127820
14336,2048,319.95,128,27.10,221316492
16384,2048,319.96,128,27.60,249505164
18432,2048,319.40,128,27.45,277693836
20480,2048,316.66,128,27.31,305882508
22528,2048,317.64,128,27.32,334071180
24576,2048,315.36,128,27.06,362259852
26624,2048,317.15,128,26.80,390448524
28672,2048,317.58,128,26.61,418637196
30720,2048,317.46,128,26.43,446825868
32768,2048,315.59,128,24.91,475014540
34816,2048,313.07,128,24.62,503203212
36864,2048,311.52,128,24.56,531391884
38912,2048,311.05,128,24.55,559580556
40960,2048,309.70,128,24.50,587769228
43008,2048,306.98,128,24.47,615957900
45056,2048,306.84,128,24.41,644146572
47104,2048,306.62,128,24.39,672335244
49152,2048,306.01,128,24.28,700523916
51200,2048,304.79,128,24.18,728712588
53248,2048,304.31,128,24.05,756901260
55296,2048,301.89,128,23.99,785089932
57344,2048,301.41,128,23.98,813278604
59392,2048,300.95,128,23.92,841467276
61440,2048,301.16,128,23.75,869655948
63488,2048,299.72,128,23.59,897844620
65536,2048,298.63,128,23.53,926033292
